ID TIME n private balances
2 1786985455.829 0 {} {}
2 1786985455.83 3 None {'3': 0, '0': 0, '1': 0, '2': 0}
2 1786985455.83 4 None {'3': 3, '0': 0, '1': 0, '2': 0}
2 1786985455.83 8 None {'3': 3, '0': 0, '1': 0, '2': 0}
2 1786985455.83 12 None {'3': 3, '0': 0, '1': 0, '2': 3}
