ID TIME n private balances
3 1786984311.024 0 {} {}
3 1786984311.024 3 {} {'3': 0, '0': 0, '2': 0, '4': 0}
3 1786984311.025 7 None {'3': 3, '0': 0, '2': 0, '4': 0, '1': 0}
3 1786984311.025 10 None {'3': 3, '0': 0, '2': 0, '4': 3, '1': 0}
3 1786984311.025 11 None {'3': 5, '0': 0, '2': 0, '4': 3, '1': 0}
3 1786984311.025 15 None {'3': 5, '0': 0, '2': 0, '4': 3, '1': 0}
3 1786984311.025 18 None {'3': 8, '0': 0, '2': 0, '4': 3, '1': 0}
3 1786984311.025 21 None {'3': 8, '0': 0, '2': 2, '4': 3, '1': 0}
3 1786984311.025 24 None {'3': 10, '0': 0, '2': 2, '4': 3, '1': 0}
3 1786984311.025 30 None {'3': 12, '0': 0, '2': 2, '4': 3, '1': 0}
