ID TIME n private balances
5 1787156203.274 0 {} {}
5 1787156203.274 0 None {}
5 1787156203.274 1 None {'1': 0}
5 1787156203.274 2 None {'1': 0, '2': 0}
5 1787156203.274 3 None {'1': 0, '2': 0, '3': 0}
5 1787156203.274 4 None {'1': 0, '2': 0, '3': 0, '4': 0}
5 1787156203.275 5 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0}
5 1787156203.275 6 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0, '9': 0}
5 1787156203.275 7 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0, '9': 0, '11': 0}
5 1787156203.275 8 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0, '9': 0, '11': 0, '8': 0}
5 1787156203.275 9 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0, '9': 0, '11': 0, '8': 0, '13': 0}
5 1787156203.275 10 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0, '9': 0, '11': 0, '8': 0, '13': 0, '10': 0}
5 1787156203.275 11 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0, '9': 0, '11': 0, '8': 0, '13': 0, '10': 0, '12': 0}
5 1787156203.275 12 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0, '9': 0, '11': 0, '8': 0, '13': 0, '10': 0, '12': 0, '16': 0}
5 1787156203.275 13 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0, '9': 0, '11': 0, '8': 0, '13': 0, '10': 0, '12': 0, '16': 0, '14': 0}
5 1787156203.275 14 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0, '9': 0, '11': 0, '8': 0, '13': 0, '10': 0, '12': 0, '16': 0, '14': 0, '19': 0}
5 1787156203.275 15 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0, '9': 0, '11': 0, '8': 0, '13': 0, '10': 0, '12': 0, '16': 0, '14': 0, '19': 0, '23': 0}
5 1787156203.275 16 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0, '9': 0, '11': 0, '8': 0, '13': 0, '10': 0, '12': 0, '16': 0, '14': 0, '19': 0, '23': 0, '20': 0}
5 1787156203.275 17 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0, '9': 0, '11': 0, '8': 0, '13': 0, '10': 0, '12': 0, '16': 0, '14': 0, '19': 0, '23': 0, '20': 0, '24': 0}
5 1787156203.275 18 None {'1': 0, '2': 0, '3': 0, '4': 0, '6': 0, '9': 0, '11': 0, '8': 0, '13': 0, '10': 0, '12': 0, '16': 0, '14': 0, '19': 0, '23': 0, '20': 0, '24': 0, '25': 0}
