ID TIME n private balances
10 1786987302.741 0 {} {}
10 1786987302.741 4 None {'3': 0, '0': 0, '1': 0, '5': 0, '2': 0}
10 1786987302.741 10 None {'3': 4, '0': 0, '1': 0, '5': 0, '2': 0, '4': 0}
10 1786987302.741 16 None {'3': 4, '0': 0, '1': 0, '5': 0, '2': 5, '4': 0}
10 1786987302.741 21 None {'3': 9, '0': 0, '1': 0, '5': 0, '2': 5, '4': 0}
10 1786987302.741 26 None {'3': 9, '0': 0, '1': 0, '5': 0, '2': 9, '4': 0}
10 1786987302.741 31 None {'3': 9, '0': 0, '1': 0, '5': 4, '2': 9, '4': 0}
10 1786987302.741 36 None {'3': 9, '0': 0, '1': 0, '5': 4, '2': 13, '4': 0}
10 1786987302.741 101 None {'3': 9, '0': 0, '1': 0, '5': 4, '2': 17, '4': 0, '13': 0, '10': 0, '8': 0, '19': 0, '9': 0, '15': 0, '6': 0, '11': 0, '16': 0, '20': 0, '12': 0, '7': 0, '14': 0, '17': 0, '18': 0}
10 1786987302.741 107 None {'3': 73, '0': 0, '1': 0, '5': 4, '2': 17, '4': 0, '13': 0, '10': 0, '8': 0, '19': 0, '9': 0, '15': 0, '6': 0, '11': 0, '16': 0, '20': 0, '12': 0, '7': 0, '14': 0, '17': 0, '18': 0}
10 1786987302.741 112 None {'3': 73, '0': 0, '1': 0, '5': 4, '2': 22, '4': 0, '13': 0, '10': 0, '8': 0, '19': 0, '9': 0, '15': 0, '6': 0, '11': 0, '16': 0, '20': 0, '12': 0, '7': 0, '14': 0, '17': 0, '18': 0}
10 1786987302.741 118 None {'3': 77, '0': 0, '1': 0, '5': 4, '2': 22, '4': 0, '13': 0, '10': 0, '8': 0, '19': 0, '9': 0, '15': 0, '6': 0, '11': 0, '16': 0, '20': 0, '12': 0, '7': 0, '14': 0, '17': 0, '18': 0}
