ID TIME n private balances
3 1786984281.757 0 {} {}
3 1786984281.758 2 {} {'3': 0, '0': 0, '2': 0}
3 1786984281.758 5 {} {'3': 2, '0': 0, '2': 0, '4': 0}
3 1786984281.758 9 None {'3': 4, '0': 0, '2': 0, '4': 0}
3 1786984281.758 11 None {'3': 7, '0': 0, '2': 0, '4': 0}
3 1786984281.758 14 None {'3': 8, '0': 0, '2': 0, '4': 0}
3 1786984281.758 16 None {'3': 8, '0': 0, '2': 0, '4': 2}
3 1786984281.758 17 None {'3': 8, '0': 0, '2': 0, '4': 3}
3 1786984281.758 24 None {'3': 8, '0': 0, '2': 0, '4': 3, '1': 0}
