ID TIME n private balances
3 1786984202.536 0 {} {}
3 1786984202.536 3 {} {'3': 0, '0': 0, '2': 0, '4': 0}
3 1786984202.536 8 None {'3': 3, '0': 0, '2': 0, '4': 0, '1': 0}
3 1786984202.536 9 None {'3': 3, '0': 0, '2': 0, '4': 0, '1': 4}
3 1786984202.536 12 None {'3': 3, '0': 0, '2': 0, '4': 0, '1': 4}
3 1786984202.536 15 None {'3': 5, '0': 0, '2': 0, '4': 0, '1': 4}
3 1786984202.536 18 None {'3': 5, '0': 0, '2': 0, '4': 0, '1': 6}
3 1786984202.536 21 None {'3': 5, '0': 0, '2': 0, '4': 0, '1': 8}
3 1786984202.537 24 None {'3': 5, '0': 0, '2': 0, '4': 0, '1': 10}
3 1786984202.537 27 None {'3': 5, '0': 0, '2': 0, '4': 0, '1': 12}
3 1786984202.537 30 None {'3': 7, '0': 0, '2': 0, '4': 0, '1': 12}
