ID TIME n private balances
2 1787133745.907 0 {} {}
2 1787133745.907 0 None {}
2 1787133745.907 1 None {'1': 0}
2 1787133745.907 2 None {'1': 0, '2': 0}
2 1787133745.907 3 None {'1': 0, '2': 0, '3': 0}
2 1787133745.907 4 None {'1': 0, '2': 0, '3': 0, '4': 0}
2 1787133745.907 5 None {'1': 0, '2': 0, '3': 0, '4': 0}
2 1787133745.907 6 None {'1': 0, '2': 0, '3': 0, '4': 0}
2 1787133745.907 7 None {'1': 0, '2': 0, '3': 0, '4': 0}
2 1787133745.908 8 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 9 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 10 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 11 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 12 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 13 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 14 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 15 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 16 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 17 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 18 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 19 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 20 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 21 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 22 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 23 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 24 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 25 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 26 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 27 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 28 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 29 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 30 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.908 31 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 32 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 33 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 34 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 35 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 36 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 37 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 38 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 39 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 40 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 41 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 42 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 43 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 44 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 45 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 46 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 47 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 48 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 49 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 50 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 51 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 52 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 53 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.909 54 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 55 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 56 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 57 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 58 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 59 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 60 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 61 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 62 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 63 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 64 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 65 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 66 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 67 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 68 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 69 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133745.91 70 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
