ID TIME n private balances
4 1787160855.826 0 {} {}
4 1787160855.826 0 None {}
4 1787160855.826 1 None {'5': 0}
4 1787160855.826 2 None {'5': 0, '4': 0}
4 1787160855.826 3 None {'5': 0, '4': 0}
4 1787160855.826 4 None {'5': 0, '4': 0}
4 1787160855.826 5 None {'5': 0, '4': 0, '2': 0}
4 1787160855.826 6 None {'5': 0, '4': 0, '2': 0}
4 1787160855.826 7 None {'5': 0, '4': 0, '2': 0}
4 1787160855.826 8 None {'5': 0, '4': 0, '2': 0}
4 1787160855.826 9 None {'5': 0, '4': 0, '2': 0}
4 1787160855.826 10 None {'5': 0, '4': 0, '2': 0}
4 1787160855.827 11 None {'5': 0, '4': 0, '2': 0}
4 1787160855.827 12 None {'5': 0, '4': 0, '2': 0, '1': 0}
4 1787160855.827 13 None {'5': 0, '4': 0, '2': 0, '1': 0}
4 1787160855.827 14 None {'5': 0, '4': 0, '2': 0, '1': 0}
4 1787160855.827 15 None {'5': 0, '4': 0, '2': 0, '1': 0, '3': 0}
4 1787160855.827 16 None {'5': 0, '4': 0, '2': 0, '1': 0, '3': 0}
4 1787160855.827 17 None {'5': 0, '4': 0, '2': 0, '1': 0, '3': 0}
