ID TIME n private balances
2 1787133462.948 0 {} {}
2 1787133462.948 0 None {}
2 1787133462.948 1 None {'1': 0}
2 1787133462.948 2 None {'1': 0, '2': 0}
2 1787133462.948 3 None {'1': 0, '2': 0, '3': 0}
2 1787133462.948 4 None {'1': 0, '2': 0, '3': 0, '4': 0}
2 1787133462.948 5 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.948 6 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.948 7 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.948 8 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 9 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 10 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 11 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 12 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 13 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 14 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 15 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 16 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 17 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 18 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 19 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 20 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 21 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 22 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 23 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 24 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 25 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 26 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 27 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 28 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 29 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.949 30 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 31 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 32 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 33 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 34 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 35 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 36 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 37 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 38 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 39 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 40 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 41 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 42 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 43 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 44 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 45 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 46 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 47 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 48 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 49 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 50 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 51 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 52 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 53 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.95 54 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 55 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 56 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 57 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 58 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 59 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 60 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 61 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 62 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 63 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 64 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 65 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 66 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 67 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 68 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 69 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 70 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 71 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 72 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 73 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 74 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 75 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 76 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.951 77 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.952 78 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
2 1787133462.952 79 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
