ID TIME n private balances
10 1787162809.651 0 {} {}
10 1787162809.651 0 None {}
10 1787162809.651 1 None {'9': 0}
10 1787162809.651 2 None {'9': 0, '4': 0}
10 1787162809.651 3 None {'9': 0, '4': 0, '1': 0}
10 1787162809.651 4 None {'9': 0, '4': 0, '1': 0}
10 1787162809.651 5 None {'9': 0, '4': 0, '1': 0}
10 1787162809.651 6 None {'9': 0, '4': 0, '1': 0}
10 1787162809.651 7 None {'9': 0, '4': 0, '1': 0}
10 1787162809.651 8 None {'9': 0, '4': 0, '1': 0}
10 1787162809.652 9 None {'9': 0, '4': 0, '1': 0}
10 1787162809.652 10 None {'9': 0, '4': 0, '1': 0}
10 1787162809.652 11 None {'9': 0, '4': 0, '1': 0, '6': 0}
10 1787162809.652 12 None {'9': 0, '4': 0, '1': 0, '6': 0}
10 1787162809.652 13 None {'9': 0, '4': 0, '1': 0, '6': 0}
10 1787162809.652 14 None {'9': 0, '4': 0, '1': 0, '6': 0}
10 1787162809.652 15 None {'9': 0, '4': 0, '1': 0, '6': 0}
10 1787162809.652 16 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
10 1787162809.652 17 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
10 1787162809.652 18 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0, '7': 0}
