ID TIME n private balances
1 1786984271.674 0 {} {}
1 1786984271.674 4 {} {'1': 0, '0': 0, '4': 0, '3': 0, '2': 0}
1 1786984271.674 6 {} {'1': 4, '0': 0, '4': 0, '3': 0, '2': 0}
1 1786984271.674 9 None {'1': 5, '0': 0, '4': 0, '3': 0, '2': 0}
1 1786984271.674 12 None {'1': 5, '0': 0, '4': 2, '3': 0, '2': 0}
1 1786984271.674 15 None {'1': 7, '0': 0, '4': 2, '3': 0, '2': 0}
1 1786984271.674 23 None {'1': 7, '0': 0, '4': 4, '3': 0, '2': 0}
1 1786984271.674 26 None {'1': 7, '0': 0, '4': 4, '3': 7, '2': 0}
1 1786984271.674 28 None {'1': 7, '0': 0, '4': 4, '3': 9, '2': 0}
1 1786984271.674 29 None {'1': 7, '0': 0, '4': 5, '3': 9, '2': 0}
1 1786984271.674 30 None {'1': 7, '0': 0, '4': 5, '3': 9, '2': 0}
