ID TIME n private balances
4 1786984192.568 0 {} {}
4 1786984192.568 3 None {'2': 0, '0': 0, '3': 0, '4': 0}
4 1786984192.568 7 None {'2': 3, '0': 0, '3': 0, '4': 0}
4 1786984192.569 10 None {'2': 3, '0': 0, '3': 3, '4': 0}
4 1786984192.569 13 None {'2': 3, '0': 0, '3': 5, '4': 0}
4 1786984192.569 15 None {'2': 5, '0': 0, '3': 5, '4': 0}
4 1786984192.569 20 None {'2': 6, '0': 0, '3': 5, '4': 0, '1': 0}
4 1786984192.569 24 None {'2': 6, '0': 0, '3': 5, '4': 0, '1': 4}
4 1786984192.569 29 None {'2': 6, '0': 0, '3': 5, '4': 3, '1': 4}
