ID TIME n private balances
5 1787134409.676 0 {} {}
5 1787134409.677 0 None {}
5 1787134409.677 1 None {'1': 0}
5 1787134409.677 2 None {'1': 0, '2': 0}
5 1787134409.677 3 None {'1': 0, '2': 0, '3': 0}
5 1787134409.677 4 None {'1': 0, '2': 0, '3': 0, '4': 0}
5 1787134409.677 5 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.677 6 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.677 7 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.678 8 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.678 9 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.678 10 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.678 11 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.678 12 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.678 13 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.678 14 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.678 15 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.678 16 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.679 17 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.679 18 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.679 19 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.679 20 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.679 21 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.679 22 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.679 23 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.679 24 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.68 25 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.68 26 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.68 27 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.68 28 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.68 29 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.68 30 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.68 31 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.68 32 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.681 33 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.681 34 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.681 35 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.681 36 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.681 37 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.681 38 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.681 39 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.681 40 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.681 41 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.682 42 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.682 43 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.682 44 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.682 45 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.682 46 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.682 47 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.682 48 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.682 49 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.683 50 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.683 51 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.683 52 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.683 53 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.683 54 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
