ID TIME ROBOT_ID QLTY QTTY TOTAL
0 2.981 4 blue 6
0 4.068 3 blue 30
0 5.567 9 blue 54
0 7.132 3 blue 83
0 8.933 8 blue 115
0 10.062 1 blue 147
0 11.246 8 blue 176
0 12.332 10 blue 192
0 13.772 2 blue 212
0 15.06 8 blue 228
0 16.125 9 blue 236
0 17.96 5 blue 284
0 19.389 10 blue 324
0 20.642 1 blue 340
0 21.952 10 blue 353
0 24.05 1 blue 375
0 25.092 4 blue 399
0 26.487 1 blue 439
0 28.093 8 blue 468
0 29.227 4 blue 498
0 30.638 7 blue 522
0 31.844 9 blue 538
0 33.284 3 blue 562
0 34.298 5 blue 586
0 35.852 10 blue 618
0 37.139 6 blue 648
0 38.675 4 blue 677
0 40.146 9 blue 701
0 41.209 5 blue 731
0 42.253 10 blue 739
0 43.81 8 blue 763
0 45.346 9 blue 793
0 46.453 10 blue 801
0 47.795 2 blue 816
0 49.151 7 blue 848
0 50.266 2 blue 862
0 51.579 4 blue 894
0 52.911 1 blue 907
