ID TIME n private balances
4 1786984320.361 0 {} {}
4 1786984320.361 1 None {'2': 0, '0': 0}
4 1786984320.361 2 None {'2': 1, '0': 0}
4 1786984320.361 8 None {'2': 1, '0': 0, '4': 0, '3': 0}
4 1786984320.361 12 None {'2': 6, '0': 0, '4': 0, '3': 0}
4 1786984320.361 15 None {'2': 6, '0': 0, '4': 3, '3': 0}
4 1786984320.361 20 None {'2': 6, '0': 0, '4': 5, '3': 0, '1': 0}
4 1786984320.361 23 None {'2': 10, '0': 0, '4': 5, '3': 0, '1': 0}
