ID TIME ROBOT_ID QLTY QTTY TOTAL
0 1.383 5 blue 8
0 2.642 1 blue 40
0 4.216 5 blue 70
0 5.247 2 blue 86
0 6.335 4 blue 110
0 7.548 5 blue 126
0 8.702 3 blue 142
0 9.738 1 blue 165
0 11.5 5 blue 181
0 13.135 4 blue 202
0 14.316 5 blue 218
0 15.605 3 blue 225
0 17.45 1 blue 258
0 19.02 1 blue 298
0 20.132 3 blue 330
0 22.538 2 blue 338
0 23.691 4 blue 362
0 25.55 4 blue 381
0 26.844 2 blue 407
0 27.904 1 blue 415
0 29.298 2 blue 447
0 30.831 3 blue 455
0 31.938 5 blue 471
0 33.073 3 blue 487
0 34.735 4 blue 495
0 35.974 2 blue 525
0 37.159 4 blue 541
0 38.292 1 blue 565
0 39.669 2 blue 573
0 41.524 1 blue 605
0 43.246 4 blue 637
