ID TIME n private balances
2 1787161182.997 0 {} {}
2 1787161182.997 0 None {}
2 1787161182.997 1 None {'3': 0}
2 1787161182.997 2 None {'3': 0}
2 1787161182.997 3 None {'3': 0, '2': 0}
2 1787161182.997 4 None {'3': 0, '2': 0, '5': 0}
2 1787161182.997 5 None {'3': 0, '2': 0, '5': 0}
2 1787161182.997 6 None {'3': 0, '2': 0, '5': 0}
2 1787161182.998 7 None {'3': 0, '2': 0, '5': 0, '4': 0}
2 1787161182.998 8 None {'3': 0, '2': 0, '5': 0, '4': 0}
2 1787161182.998 9 None {'3': 0, '2': 0, '5': 0, '4': 0}
2 1787161182.998 10 None {'3': 0, '2': 0, '5': 0, '4': 0}
2 1787161182.998 11 None {'3': 0, '2': 0, '5': 0, '4': 0}
2 1787161182.998 12 None {'3': 0, '2': 0, '5': 0, '4': 0}
2 1787161182.998 13 None {'3': 0, '2': 0, '5': 0, '4': 0}
2 1787161182.998 14 None {'3': 0, '2': 0, '5': 0, '4': 0}
2 1787161182.998 15 None {'3': 0, '2': 0, '5': 0, '4': 0}
2 1787161182.998 16 None {'3': 0, '2': 0, '5': 0, '4': 0}
2 1787161182.998 17 None {'3': 0, '2': 0, '5': 0, '4': 0}
