ID TIME n private balances
3 1787160953.486 0 {} {}
3 1787160953.486 0 {} {}
3 1787160953.486 1 None {'3': 0}
3 1787160953.486 2 None {'3': 0, '1': 0}
3 1787160953.486 3 None {'3': 0, '1': 0, '5': 0}
3 1787160953.486 4 None {'3': 0, '1': 0, '5': 0}
3 1787160953.486 5 None {'3': 0, '1': 0, '5': 0}
3 1787160953.486 6 None {'3': 0, '1': 0, '5': 0}
3 1787160953.486 7 None {'3': 0, '1': 0, '5': 0}
3 1787160953.486 8 None {'3': 0, '1': 0, '5': 0, '4': 0}
3 1787160953.486 9 None {'3': 0, '1': 0, '5': 0, '4': 0}
3 1787160953.486 10 None {'3': 0, '1': 0, '5': 0, '4': 0}
3 1787160953.486 11 None {'3': 0, '1': 0, '5': 0, '4': 0}
3 1787160953.486 12 None {'3': 0, '1': 0, '5': 0, '4': 0}
3 1787160953.486 13 None {'3': 0, '1': 0, '5': 0, '4': 0}
3 1787160953.486 14 None {'3': 0, '1': 0, '5': 0, '4': 0}
3 1787160953.486 15 None {'3': 0, '1': 0, '5': 0, '4': 0}
3 1787160953.486 16 None {'3': 0, '1': 0, '5': 0, '4': 0}
3 1787160953.486 17 None {'3': 0, '1': 0, '5': 0, '4': 0}
3 1787160953.486 18 None {'3': 0, '1': 0, '5': 0, '4': 0, '2': 0}
3 1787160953.487 19 None {'3': 0, '1': 0, '5': 0, '4': 0, '2': 0}
