ID TIME 
0 0.017 0 0 0 0 0 0
0 0.035 0 0 0 0 0 0
0 0.049 0 0 0 0 0 0
0 0.064 0 0 0 0 0 0
0 0.079 0 0 0 0 0 0
0 0.094 0 0 0 0 0 0
0 0.108 0 0 0 0 0 0
0 0.124 0 0 0 0 0 0
0 0.139 0 0 0 0 0 0
0 0.156 0 0 0 0 0 0
0 0.176 0 0 0 0 0 0
0 0.195 0 0 0 0 0 0
0 0.213 0 0 0 0 0 0
0 0.232 0 0 0 0 0 0
0 0.25 0 0 0 0 0 0
0 0.268 0 0 0 0 0 0
0 0.286 0 0 0 0 0 0
0 0.314 0 0 0 0 0 0
0 0.333 0 0 0 0 0 0
0 0.351 0 0 0 0 0 0
0 0.369 0 0 0 0 0 0
0 0.387 0 0 0 0 0 0
0 0.406 0 0 0 0 0 0
0 0.424 0 0 0 0 0 0
0 0.442 0 0 0 0 0 0
0 0.461 0 0 0 0 0 0
0 0.479 0 0 0 0 0 0
0 0.498 0 0 0 0 0 0
0 0.517 0 0 0 0 0 0
0 0.535 0 0 0 0 0 0
0 0.564 0 0 0 0 0 0
0 0.585 0 0 0 0 0 0
0 0.602 0 0 0 0 0 0
0 0.622 0 0 0 0 0 0
0 0.639 0 0 0 0 0 0
0 0.656 0 0 0 0 0 0
0 0.676 0 0 0 0 0 0
0 0.696 0 0 0 0 0 0
0 0.715 0 0 0 0 0 0
0 0.737 0 0 0 0 0 0
0 0.757 0 0 0 0 0 0
0 0.776 0 0 0 0 0 0
0 0.796 0 0 0 0 0 0
0 0.922 0 0 0 0 0 0
0 0.95 0 0 0 0 0 0
0 0.978 0 0 0 0 0 0
0 1.005 0 0 0 0 0 0
0 1.033 0 0 0 0 0 0
0 1.06 0 0 0 0 0 0
0 1.088 0 0 0 0 0 0
0 1.114 0 0 0 0 0 0
0 1.14 0 0 0 0 0 0
0 1.166 0 0 0 0 0 0
0 1.192 0 0 0 0 0 0
0 1.218 0 0 0 0 0 0
0 1.244 0 0 0 0 0 0
0 1.271 0 0 0 0 0 0
0 1.299 0 0 0 0 0 0
0 1.325 0 0 0 0 0 0
0 1.351 0 0 0 0 0 0
0 1.382 0 0 0 0 0 0
0 1.409 0 0 0 0 0 0
0 1.436 0 0 0 0 0 0
0 1.464 0 0 0 0 0 0
0 1.632 0 0 0 0 0 0
0 1.67 0 0 0 0 0 0
0 1.708 0 0 0 0 0 0
0 1.747 0 0 0 0 0 0
0 1.787 0 0 0 0 0 0
0 1.826 0 0 0 0 0 0
0 1.868 0 0 0 0 0 0
0 1.909 0 0 0 0 0 0
0 1.95 0 0 0 0 0 0
0 1.991 0 0 0 0 0 0
0 2.036 0 0 0 0 0 0
0 2.077 0 0 0 0 0 0
0 2.117 0 0 0 0 0 0
0 2.156 0 0 0 0 0 0
0 2.197 0 0 0 0 0 0
0 2.237 0 0 0 0 0 0
0 2.277 0 0 0 0 0 0
0 2.317 0 0 0 0 0 0
0 2.356 0 0 0 0 0 0
0 2.397 0 0 0 0 0 0
0 2.436 0 0 0 0 0 0
0 2.638 0 0 0 0 0 0
0 2.666 0 0 0 0 0 0
0 2.694 0 0 0 0 0 0
0 2.723 0 0 0 0 0 0
0 2.752 0 0 0 0 0 0
0 2.785 0 0 0 0 0 0
0 2.815 0 0 0 0 0 0
0 2.844 0 0 0 0 0 0
0 2.874 0 0 0 0 0 0
0 2.903 0 0 0 0 0 0
0 2.932 0 0 0 0 0 0
0 2.962 0 0 0 0 0 0
0 2.991 0 0 0 0 0 0
0 3.021 0 0 0 0 0 0
0 3.05 0 0 0 0 0 0
0 3.08 0 0 0 0 0 0
0 3.111 0 0 0 0 0 0
0 3.139 0 0 0 0 0 0
0 3.169 0 0 0 0 0 0
0 3.198 0 0 0 0 0 0
0 3.229 0 0 0 0 0 0
0 3.344 0 0 0 0 0 0
0 3.373 0 0 0 0 0 0
0 3.401 0 0 0 0 0 0
0 3.43 0 0 0 0 0 0
0 3.459 0 0 0 0 0 0
0 3.488 0 0 0 0 0 0
0 3.517 0 0 0 0 0 0
0 3.546 0 0 0 0 0 0
0 3.575 0 0 0 0 0 0
0 3.604 0 0 0 0 0 0
0 3.633 0 0 0 0 0 0
0 3.662 0 0 0 0 0 0
0 3.691 0 0 0 0 0 0
0 3.719 0 0 0 0 0 0
0 3.753 0 0 0 0 0 0
0 3.783 0 0 0 0 0 0
0 3.813 0 0 0 0 0 0
0 3.842 0 0 0 0 0 0
0 3.876 0 0 0 0 0 0
0 3.905 0 0 0 0 0 0
0 3.933 0 0 0 0 0 0
0 4.031 0 0 0 0 0 0
0 4.063 0 0 0 0 0 0
0 4.094 0 0 0 0 0 0
0 4.129 0 0 0 0 0 0
0 4.161 0 0 0 0 0 0
0 4.192 0 0 0 0 0 0
0 4.223 0 0 0 0 0 0
0 4.254 0 0 0 0 0 0
0 4.285 0 0 0 0 0 0
0 4.316 0 0 0 0 0 0
0 4.347 0 0 0 0 0 0
0 4.378 0 0 0 0 0 0
0 4.409 0 0 0 0 0 0
0 4.451 0 0 0 0 0 0
0 4.483 0 0 0 0 0 0
0 4.514 0 0 0 0 0 0
0 4.544 0 0 0 0 0 0
0 4.576 0 0 0 0 0 0
0 4.606 0 0 0 0 0 0
0 4.637 0 0 0 0 0 0
0 4.668 0 0 0 0 0 0
0 4.77 0 0 0 0 0 0
0 4.797 0 0 0 0 0 0
0 4.825 0 0 0 0 0 0
0 4.852 0 0 0 0 0 0
0 4.878 0 0 0 0 0 0
0 4.904 0 0 0 0 0 0
0 4.931 0 0 0 0 0 0
0 4.957 0 0 0 0 0 0
0 4.984 0 0 0 0 0 0
0 5.01 0 0 0 0 0 0
0 5.04 0 0 0 0 0 0
0 5.067 0 0 0 0 0 0
0 5.094 0 0 0 0 0 0
0 5.12 0 0 0 0 0 0
0 5.147 0 0 0 0 0 0
0 5.173 0 0 0 0 0 0
0 5.2 0 0 0 0 0 0
0 5.226 0 0 0 0 0 0
0 5.253 0 0 0 0 0 0
0 5.279 0 0 0 0 0 0
0 5.306 0 0 0 0 0 0
0 5.366 0 0 0 0 0 0
0 5.394 0 0 0 0 0 0
0 5.421 0 0 0 0 0 0
0 5.448 0 0 0 0 0 0
0 5.476 0 0 0 0 0 0
0 5.503 0 0 0 0 0 0
0 5.529 0 0 0 0 0 0
0 5.556 0 0 0 0 0 0
0 5.584 0 0 0 0 0 0
0 5.608 0 0 0 0 0 0
0 5.636 0 0 0 0 0 0
0 5.667 0 0 0 0 0 0
0 5.695 0 0 0 0 0 0
0 5.724 0 0 0 0 0 0
0 5.751 0 0 0 0 0 0
0 5.779 0 0 0 0 0 0
0 5.807 0 0 0 0 0 0
0 5.835 0 0 0 0 0 0
