ID TIME n private balances
1 1787133498.587 0 {} {}
1 1787133498.587 0 {} {}
1 1787133498.587 1 None {'1': 0}
1 1787133498.587 2 None {'1': 0, '2': 0}
1 1787133498.587 3 None {'1': 0, '2': 0, '3': 0}
1 1787133498.587 4 None {'1': 0, '2': 0, '3': 0, '4': 0}
1 1787133498.587 5 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.587 6 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.587 7 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.587 8 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.587 9 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.587 10 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.587 11 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.587 12 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.587 13 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.587 14 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.587 15 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 16 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 17 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 18 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 19 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 20 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 21 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 22 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 23 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 24 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 25 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 26 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 27 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 28 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 29 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 30 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 31 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 32 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 33 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 34 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 35 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 36 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 37 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.588 38 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.589 39 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.589 40 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.589 41 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.589 42 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.589 43 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.589 44 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.589 45 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.589 46 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.589 47 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787133498.589 48 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
