ID TIME n private balances
3 1786984368.677 0 {} {}
3 1786984368.677 3 None {'1': 0, '0': 0, '2': 0, '4': 0}
3 1786984368.677 6 None {'1': 3, '0': 0, '2': 0, '4': 0}
3 1786984368.678 7 None {'1': 3, '0': 0, '2': 2, '4': 0}
3 1786984368.678 8 None {'1': 3, '0': 0, '2': 2, '4': 0}
3 1786984368.678 9 None {'1': 3, '0': 0, '2': 2, '4': 0}
3 1786984368.678 20 None {'1': 3, '0': 0, '2': 2, '4': 0, '3': 0}
3 1786984368.678 25 None {'1': 3, '0': 0, '2': 12, '4': 0, '3': 0}
